epoch:0 oa:0.84378 aa:0.22488 iou:0.11030
epoch:1 oa:0.92328 aa:0.39191 iou:0.33421
epoch:2 oa:0.94075 aa:0.47644 iou:0.41095
epoch:3 oa:0.94982 aa:0.52033 iou:0.45201
epoch:4 oa:0.95444 aa:0.57221 iou:0.50117
epoch:5 oa:0.95947 aa:0.61091 iou:0.53356
epoch:6 oa:0.96228 aa:0.64646 iou:0.56697
epoch:7 oa:0.96102 aa:0.65198 iou:0.57093
epoch:8 oa:0.96676 aa:0.69138 iou:0.61125
epoch:9 oa:0.96714 aa:0.70168 iou:0.62107
epoch:10 oa:0.96868 aa:0.72146 iou:0.64258
epoch:11 oa:0.97017 aa:0.73232 iou:0.65377
epoch:12 oa:0.97007 aa:0.74598 iou:0.67044
epoch:13 oa:0.96907 aa:0.73950 iou:0.65908
epoch:14 oa:0.97244 aa:0.76276 iou:0.68527
epoch:15 oa:0.97270 aa:0.77154 iou:0.69757
epoch:16 oa:0.97222 aa:0.77148 iou:0.69606
epoch:17 oa:0.97363 aa:0.78096 iou:0.70654
epoch:18 oa:0.97292 aa:0.77970 iou:0.70414
epoch:19 oa:0.97320 aa:0.78526 iou:0.71143
epoch:20 oa:0.97425 aa:0.79380 iou:0.71991
epoch:21 oa:0.97527 aa:0.80088 iou:0.72736
epoch:22 oa:0.97454 aa:0.79097 iou:0.71608
epoch:23 oa:0.97564 aa:0.80318 iou:0.73106
epoch:24 oa:0.97488 aa:0.79666 iou:0.72061
epoch:25 oa:0.97573 aa:0.80751 iou:0.73486
epoch:26 oa:0.97587 aa:0.81321 iou:0.74204
epoch:27 oa:0.97563 aa:0.80399 iou:0.73229
epoch:28 oa:0.97576 aa:0.81185 iou:0.73950
epoch:29 oa:0.97779 aa:0.81967 iou:0.75043
epoch:30 oa:0.97613 aa:0.80944 iou:0.73525
epoch:31 oa:0.97657 aa:0.82033 iou:0.74969
epoch:32 oa:0.97787 aa:0.81858 iou:0.74941
epoch:33 oa:0.97540 aa:0.81265 iou:0.73958
epoch:34 oa:0.97744 aa:0.82169 iou:0.75238
epoch:35 oa:0.97661 aa:0.81869 iou:0.74666
epoch:36 oa:0.97792 aa:0.82664 iou:0.75715
epoch:37 oa:0.97748 aa:0.82687 iou:0.75726
epoch:38 oa:0.97684 aa:0.82094 iou:0.75115
epoch:39 oa:0.97861 aa:0.82918 iou:0.76003
epoch:40 oa:0.97811 aa:0.83040 iou:0.76198
epoch:41 oa:0.97593 aa:0.82280 iou:0.74927
epoch:42 oa:0.97850 aa:0.83043 iou:0.76304
epoch:43 oa:0.97924 aa:0.83254 iou:0.76255
epoch:44 oa:0.97906 aa:0.83160 iou:0.76019
epoch:45 oa:0.97784 aa:0.82525 iou:0.75563
epoch:46 oa:0.97936 aa:0.83252 iou:0.76639
epoch:47 oa:0.97874 aa:0.83226 iou:0.76502
epoch:48 oa:0.97864 aa:0.83058 iou:0.76194
epoch:49 oa:0.97909 aa:0.83946 iou:0.77297
epoch:50 oa:0.97782 aa:0.82898 iou:0.75723
epoch:51 oa:0.97924 aa:0.84104 iou:0.77333
epoch:52 oa:0.97921 aa:0.83525 iou:0.76614
epoch:53 oa:0.97974 aa:0.83788 iou:0.77034
epoch:54 oa:0.97986 aa:0.84276 iou:0.77512
epoch:55 oa:0.97924 aa:0.83608 iou:0.76922
epoch:56 oa:0.97934 aa:0.83627 iou:0.76837
epoch:57 oa:0.97786 aa:0.83102 iou:0.75882
epoch:58 oa:0.97939 aa:0.84294 iou:0.77472
epoch:59 oa:0.97954 aa:0.84185 iou:0.77416
epoch:60 oa:0.98012 aa:0.84284 iou:0.77634
epoch:61 oa:0.97990 aa:0.83960 iou:0.76919
epoch:62 oa:0.97924 aa:0.84271 iou:0.77541
epoch:63 oa:0.97959 aa:0.84114 iou:0.77265
epoch:64 oa:0.98001 aa:0.84377 iou:0.77723
epoch:65 oa:0.98051 aa:0.84803 iou:0.78260
epoch:66 oa:0.98043 aa:0.84799 iou:0.78196
epoch:67 oa:0.97900 aa:0.84274 iou:0.77422
epoch:68 oa:0.98055 aa:0.84672 iou:0.78049
epoch:69 oa:0.98003 aa:0.84634 iou:0.77935
epoch:70 oa:0.98030 aa:0.84936 iou:0.78324
epoch:71 oa:0.98039 aa:0.84972 iou:0.78369
epoch:72 oa:0.98000 aa:0.84767 iou:0.77994
epoch:73 oa:0.98041 aa:0.85095 iou:0.78378
epoch:74 oa:0.97993 aa:0.84614 iou:0.77661
epoch:75 oa:0.98025 aa:0.84441 iou:0.77570
epoch:76 oa:0.98114 aa:0.85175 iou:0.78507
epoch:77 oa:0.98031 aa:0.84984 iou:0.78252
epoch:78 oa:0.98002 aa:0.84733 iou:0.77907
epoch:79 oa:0.98114 aa:0.84932 iou:0.78513
epoch:80 oa:0.98105 aa:0.85329 iou:0.78769
epoch:81 oa:0.98087 aa:0.85383 iou:0.78822
epoch:82 oa:0.98092 aa:0.85235 iou:0.78672
epoch:83 oa:0.98111 aa:0.85267 iou:0.78683
epoch:84 oa:0.98087 aa:0.85319 iou:0.78621
epoch:85 oa:0.98067 aa:0.84740 iou:0.77938
epoch:86 oa:0.98033 aa:0.85359 iou:0.78613
epoch:87 oa:0.98138 aa:0.85592 iou:0.79069
epoch:88 oa:0.98129 aa:0.85903 iou:0.79479
epoch:89 oa:0.98159 aa:0.85425 iou:0.78895
epoch:90 oa:0.98075 aa:0.85355 iou:0.78724
